poster_id,date,artist,location,type,variant,number,personal_url,stock_url,official_url
0,2010-07-05,Faith No More,Brooklyn,AP,Green Edition,21/70,https://drive.google.com/thumbnail?id=1D4VB2W9a9jFKGNMIp17j98483uEzGsWb&sz=w1000,https://drive.google.com/thumbnail?id=1vLdapZu2Oj-jWqdahQWtxtTh6grXWBK6&sz=w1000,
1,2012-07-01,Roger Waters,Boston,SE,,Unnumbered,https://drive.google.com/thumbnail?id=1d7sVBJQhITm1zAJ91dBp1UiI_X8Vtbjk&sz=w1000,https://drive.google.com/thumbnail?id=1WHemrT9ldrXhN-D_Ddouo92zj4kF7swm&sz=w1000,
2,2013-10-21,Nine Inch Nails,Raleigh,SE,,Unnumbered,https://drive.google.com/thumbnail?id=13ArayMhL6C_jf1k9anFqAdLk1FoJtFdU&sz=w1000,https://drive.google.com/thumbnail?id=15JpqRB4rJhrhJrA67Kk8mu6RidC1UBRA&sz=w1000,
3,2014-01-30,Queens of the Stone Age,Raleigh,AP,,67/100,https://drive.google.com/thumbnail?id=1YzL6iOQgbQVX0aMyFG2Uu6dn6MWvgg1t&sz=w1000,https://drive.google.com/thumbnail?id=1xuLmHvGKSXCHMIoQ0Qei1UGtdZ5O_TEj&sz=w1000,
4,2014-07-12,Queens of the Stone Age,Providence,AP,,49/69,https://drive.google.com/thumbnail?id=1z0-7j8Y0t1jR9fzKjAE1mBWIR6HDFUaH&sz=w1000,https://drive.google.com/thumbnail?id=1Cdr6HCwHruHIvXDnshMWKLxGb07QuRnk&sz=w1000,
5,2014-08-11,Nine Inch Nails,Tampa,AP,,40/115,https://drive.google.com/thumbnail?id=1WBCFgifdYqvrSuMQYY6rzaWq_7GUHWys&sz=w1000,https://drive.google.com/thumbnail?id=1_oSRhhUR8OqSshawfmYXLAim5Y6mrY2v&sz=w1000,
6,2014-09-17,Jack White,Boston,SE,,Unnumbered,https://drive.google.com/thumbnail?id=1JG1lJmJHIcn3n-M2ZzNFifyrcUKPE99b&sz=w1000,https://drive.google.com/thumbnail?id=1ytGWzHsqf1bMSDgZQ6EdKPkTP7yUZK02&sz=w1000,
7,2015-05-11,Faith No More,Boston,AP,Sparkle Foil,16/20,https://drive.google.com/thumbnail?id=1pHW8CbAmmBoChPT3ptcp5LxmAdahal17&sz=w1000,https://drive.google.com/thumbnail?id=1fFctIb_RYxTDxFhpjmRfX3N5MCyJTUs0&sz=w1000,
8,2015-07-19,Foo Fighters,Boston,SE,Gold Foil,25/50,https://drive.google.com/thumbnail?id=1E6pcW3dUGSJWsPp_q6j2pb18fvNU-FN2&sz=w1000,https://drive.google.com/thumbnail?id=1wSPyeKU5t347PxeDocOEEpUf2FiRU94R&sz=w1000,
9,2015-07-31,Faith No More,Raleigh,SE,,81/135,https://drive.google.com/thumbnail?id=1qE0l10PiEjIbHTXarFrMckh_vq8F2wIr&sz=w1000,https://drive.google.com/thumbnail?id=1ruJQUS42sO_n4WtttnHkIg90wic236iH&sz=w1000,
10,2015-11-10,Puscifer,Charlotte,SE,,70/179,https://drive.google.com/thumbnail?id=1Fg_aQbeFRAAhUAJZvDm6uy0YVcvkebRg&sz=w1000,https://drive.google.com/thumbnail?id=1CqmCXx4HVZFyi98cYws081u3fTw5-ifw&sz=w1000,
11,2016-01-26,Tool,Charlotte,SE,,295/400,https://drive.google.com/thumbnail?id=1Eu--TG1kO-2kdBB7sb8OC2LYeuPrwheR&sz=w1000,https://drive.google.com/thumbnail?id=1sHsEgQd5SEVy0ngM7jzkQzTXS2MqGhye&sz=w1000,
12,2016-04-19,Puscifer,Raleigh,SE,,Unnumbered,https://drive.google.com/thumbnail?id=198VhKRw9VSi3u01w-1013rJ2hYUOZe7h&sz=w1000,https://drive.google.com/thumbnail?id=1Y-Rpnb-BhEi6cnj8J-uJogItdZFhIAUv&sz=w1000,
13,2017-05-19,Metallica,Boston,SE,,139/650,https://drive.google.com/thumbnail?id=1eulPCc43Zjd6sWgJlMFrKSQJUmlumqEz&sz=w1000,https://drive.google.com/thumbnail?id=1PfmnWHFKHA7TM8jfN1qCFZu8CgT336J2&sz=w1000,
14,2017-05-24,Tool,Fairfax,SE,,224/500,https://drive.google.com/thumbnail?id=1tvMg4_rI4Dm1qvelFzJ7V8eIQ1hqyJ2u&sz=w1000,https://drive.google.com/thumbnail?id=10huhLiaF_EBaakEdrYtrVzj_yuwA0Dso&sz=w1000,
15,2017-05-24,Tool,Fairfax,SE,,Unknown,,https://drive.google.com/thumbnail?id=10huhLiaF_EBaakEdrYtrVzj_yuwA0Dso&sz=w1000,
16,2017-07-18,Primus,Raleigh,AP,Cream,15/30,,https://drive.google.com/thumbnail?id=1KmIylDFDmN37fyiv10iZIyAUA8EEC8VM&sz=w1000,
17,2017-08-11,Guns N' Roses,Winston Salem,SE,,46/275,https://drive.google.com/thumbnail?id=1H_xQu3ur-hPDukbKogQH3OgNd_hBaBkL&sz=w1000,https://drive.google.com/thumbnail?id=1AFKuZc-0h-a6uiglL4r-vTAZoB3GYe3q&sz=w1000,
