artist,image_url,website_url,wiki_url,wiki_extract
Deftones,https://upload.wikimedia.org/wikipedia/commons/1/1b/Deftones2011.jpg,,https://en.wikipedia.org/wiki/Deftones,"Deftones is an American alternative metal band formed in Sacramento, California, in 1988. They were formed by frontman Chino Moreno, lead guitarist Stephen Carpenter and drummer Abe Cunningham, with bassist Chi Cheng and keyboardist and turntablist Frank Delgado joining the lineup in 1990 and 1999, respectively."
Disturbed,https://upload.wikimedia.org/wikipedia/commons/b/b8/2016_RiP_Disturbed_-_by_2eight_-_DSC7890.jpg,,https://en.wikipedia.org/wiki/Disturbed_(band),"Disturbed is an American heavy metal band from Chicago, Illinois and formed in 1994. The band includes guitarist Dan Donegan, drummer Mike Wengren, lead vocalist David Draiman, and bassist John Moyer. Donegan and Wengren have been involved in the band since its inception, with Draiman replacing original lead vocalist Erich Awalt in 1996 and Moyer replacing original bassist Steve ""Fuzz"" Kmak in 200"
Eagles,https://upload.wikimedia.org/wikipedia/commons/1/11/The_Eagles_in_performance%2C_2008.jpg,,https://en.wikipedia.org/wiki/Eagles_(band),"The Eagles are an American rock band formed in Los Angeles in 1971. With five number-one singles, six number-one albums, six Grammy Awards and five American Music Awards, the Eagles were one of the most successful musical acts of the 1970s in North America. In addition, they are one of the world's best-selling music artists, having sold more than 200 million records worldwide, including 100 millio"
Elton John,https://upload.wikimedia.org/wikipedia/commons/6/61/EltonDocBFILFF101024_%284_of_17%29_%28cropped%29.jpg,,https://en.wikipedia.org/wiki/Elton_John,"Sir Elton Hercules John is a British singer, songwriter and pianist. His music and showmanship have had a significant, lasting effect on the music industry, and his songwriting partnership with the lyricist Bernie Taupin is one of the most successful in history. John was the 19th person to achieve an ""EGOT"", winning Emmy, Grammy, Oscar, and Tony awards. He has sold over 300 million records worldwi"
Faith No More,https://upload.wikimedia.org/wikipedia/commons/a/ab/Faith_No_More_2009.jpg,,https://en.wikipedia.org/wiki/Faith_No_More,"Faith No More is an American rock band from San Francisco, California, formed in 1979. Before September 1983, the band performed under the names Sharp Young Men and later Faith. No Man. Bassist Billy Gould, keyboardist/rhythm guitarist Roddy Bottum and drummer Mike Bordin are the longest-tenured members of the band, having been involved since its inception. The band underwent several early lineup"
Flight of the Conchords,https://upload.wikimedia.org/wikipedia/commons/2/20/Flight_Of_The_Conchords_-_Soho_Theatre_-_Sunday_25th_February_2018_ConchordsSoho250218-7_%2838761512730%29_%28cropped%29.jpg,,https://en.wikipedia.org/wiki/Flight_of_the_Conchords,"Flight of the Conchords are a New Zealand musical comedy duo formed in Wellington in 1998. The band consists of multi-instrumentalists Bret McKenzie and Jemaine Clement. Beginning as a popular live comedy act in the early 2000s, the duo's comedy and music became the basis of the self-titled BBC radio series (2005) and, subsequently, the HBO series Flight of the Conchords (2007–2009). They released"
Foo Fighters,https://upload.wikimedia.org/wikipedia/commons/c/cb/Glasto2023.jpg,,https://en.wikipedia.org/wiki/Foo_Fighters,"The Foo Fighters are an American rock band formed in Seattle in 1994. Initially founded as a one-man project by former Nirvana drummer Dave Grohl, the band comprises vocalist/guitarist Grohl, bassist Nate Mendel, guitarists Pat Smear and Chris Shiflett, keyboardist Rami Jaffee and drummer Ilan Rubin. Guitarist Franz Stahl and drummers William Goldsmith, Taylor Hawkins, and Josh Freese are former m"
Foreigner,https://upload.wikimedia.org/wikipedia/commons/c/c4/2016_Lieder_am_See_-_Foreigner_-_by_2eight_-_DSC4789.jpg,,https://en.wikipedia.org/wiki/Foreigner_(band),"Foreigner is a British–American rock band formed in New York City in 1976. The band's original and classic lineup consisted of vocalist Lou Gramm, guitarist Mick Jones, bassists Ed Gagliardi and Rick Wills, drummer Dennis Elliott, keyboardist Al Greenwood and multi-instrumentalist Ian McDonald. Foreigner is one of the best-selling bands of all time, with worldwide sales exceeding 80 million record"
Genesis,https://upload.wikimedia.org/wikipedia/commons/b/bc/Genesis_%22Duke%22_1980_Atlantic_press_photo.jpg,,https://en.wikipedia.org/wiki/Genesis_(band),"Genesis were an English rock band formed at Charterhouse School, in Godalming, Surrey, in 1967. The band's longest-lasting and most commercially successful line-up consisted of keyboardist Tony Banks, bassist/guitarist Mike Rutherford and drummer/singer Phil Collins. In the 1970s, during which the band also included singer Peter Gabriel and guitarist Steve Hackett, Genesis were among the pioneers"
Ghost,https://upload.wikimedia.org/wikipedia/commons/b/bf/2023_Sweden_Rock_-_4309_%2853048871172%29.jpg,,https://en.wikipedia.org/wiki/Ghost_(Swedish_band),"Ghost is a Swedish rock band formed in Linköping, in 2006. The band released their debut album, Opus Eponymous, in 2010, which earned them international recognition. This was followed by Infestissumam in 2013 and in 2015 by Meliora, which reached number one in Sweden and number eight in the US. This was followed by the albums Prequelle in 2018 and Impera in 2022. The band's sixth studio album, Ske"
