id,date,artist,illustrator,location,type,variant,number,tourShowSpecific,autographed,framed,attended,notes,expressobeansLink
47,2023-05-21,Tool,Alex Kuno,Daytona,SE,,155/450,Day of Show,Yes,No,Yes,,https://expressobeans.com/public/detail.php/314300
48,2023-08-04,Metallica,Squindo,East Rutherford,SE,,328/550,Day of Show,No,No,Yes,Day 1 Attended,https://expressobeans.com/public/detail.php/316748
49,2023-08-06,Metallica,Squindo,East Rutherford,SE,,395/550,Day of Show,No,No,No,Day 2 Companion,https://expressobeans.com/public/detail.php/316749
50,2023-10-14,U2,Studio/Official,Las Vegas,SE,,Unnumbered,Tour,No,No,Yes,,https://expressobeans.com/public/detail.php/318464
51,2023-10-29,Polyphia,Travis Gillan,Raleigh,SE,Foil,Unnumbered,Day of Show,No,No,Yes,,https://expressobeans.com/public/detail.php/318753
52,2023-10-29,Polyphia,Miles Johnston,Raleigh,VIP Poster,,1045/1235,Tour,Yes,No,Yes,,https://expressobeans.com/public/detail.php/323237
53,2023-11-09,Eagles,Richard Biffle,Raleigh,SE,,Unnumbered,Tour,No,No,Yes,,https://expressobeans.com/public/detail.php/317772
54,2024-01-21,Tool,Liz Passerieux,Charlotte,SE,,435/750,Day of Show,No,No,Yes,,https://expressobeans.com/public/detail.php/321059
55,2024-01-21,Tool,Liz Passerieux,Charlotte,SE,,711/750,Day of Show,Yes,No,Yes,,https://expressobeans.com/public/detail.php/321059
56,2024-02-18,Tool,Korin Faught,Las Vegas,SE,,,Day of Show,No,No,Yes,Big Poster,https://expressobeans.com/public/detail.php/321675
57,2024-04-07,Sessanta,Zoltron,Raleigh,VIP Poster,,Unnumbered,Tour,Yes,No,Yes,,https://expressobeans.com/public/detail.php/322555
58,2024-04-07,Sessanta,Zeb Love,Raleigh,SE,,Unnumbered,Day of Show,No,No,Yes,Sessanta,https://expressobeans.com/public/detail.php/322934
59,2024-04-07,Sessanta,Mark Dean Veca,Raleigh,SE,Foil,,Day of Show,Yes,No,Yes,Big Poster,https://expressobeans.com/public/detail.php/322926
60,2024-05-16,Sonic Temple Festival,Logan Schmitt,Columbus,SE,Foil,Unnumbered,Festival,No,No,Yes,,
61,2024-06-26,Red Hot Chili Peppers,Burrito Breath,Raleigh,AP,Foil,47/50,Day of Show,No,No,Yes,,https://expressobeans.com/public/detail.php/324915
62,2024-06-26,Red Hot Chili Peppers,Burrito Breath,Raleigh,SE,,Unnumbered,Day of Show,No,No,Yes,,https://expressobeans.com/public/detail.php/324915
63,2025-05-06,Linkin Park,DABSMYLA,Raleigh,AP,,84/100,Day of Show,No,No,Yes,,https://expressobeans.com/public/detail.php/331952
64,2025-05-13,Pearl Jam,Don Pendleton,Raleigh,SE,,Unnumbered,Day of Show,No,No,Yes,,https://expressobeans.com/public/detail.php/332084
65,2025-05-31,Metallica,Miles Tsang,Charlotte,SE,,495/545,Day of Show,No,No,Yes,Pop-Up,https://expressobeans.com/public/detail.php/332464
66,2025-05-31,Metallica,NC Winters,Charlotte,SE,,393/925,Day of Show,No,No,Yes,,https://expressobeans.com/public/detail.php/332529
67,2025-08-27,System of a Down,Official / TBD,East Rutherford,SE,,Unnumbered,Day of Show,No,No,Yes,,
68,2025-09-05,Nine Inch Nails,Official / TBD,Raleigh,SE,Peel it back,Unnumbered,Tour,No,No,Yes,Peel it back tour poster,https://expressobeans.com/public/detail.php/334688
69,2026-04-01,Puscifer,Boop a Doop,Durham,SE,Foil,31/75,Day of Show,No,No,Yes,Display,https://expressobeans.com/public/detail.php/339059
70,2026-04-17,AVTT/PTTN,Kate Lamp,Greensboro,SE,,106/150,Day of Show,No,No,Yes,,https://expressobeans.com/public/detail.php/339352
