id,date,dayOfWeek,artist,city,state,venue,attendedWith,hasPoster,setlistLink,tourName,openingActs,notes
40,2017-10-10,Tuesday,Queens of the Stone Age,Morrison,CO,Red Rocks Amphitheatre,Eric S.,Yes,https://www.setlist.fm/setlist/queens-of-the-stone-age/2017/red-rocks-amphitheatre-morrison-co-3e3f9bf.html,Villains World Tour,Royal Blood,Red Rocks!!!!!
41,2018-04-24,Tuesday,Bon Jovi,Raleigh,NC,PNC Arena,"Cheryl H., Bill B.",No,https://www.setlist.fm/setlist/bon-jovi/2018/pnc-arena-raleigh-nc-2bec1842.html,This House Is Not for Sale Tour,,
42,2018-05-18,Friday,Rock on the Range Festival - Day 1,Columbus,OH,Mapfre Stadium,"Sean I., Joe P., Josh A.",Yes,https://www.setlist.fm/search?query=Rock+on+the+Range+05%2F18%2F2018,Rock on the Range 2018,"Alice in Chains, A Perfect Circle, Breaking Benjamin, Machine Gun Kelly, Greta Van Fleet, 10 Years, The Bronx, Underoath, Quicksand, Hawthorne Heights, Turnstile, Senses Fail, Fever 333, I See Stars, Body Count, Atreyu, Power Trip, Dance Gavin Dance, Mutoid Man, Spirit Animal",Glamping! First Festival!
43,2018-05-19,Saturday,Rock on the Range Festival - Day 2,Columbus,OH,Mapfre Stadium,"Sean I., Joe P., Josh A.",Yes,https://www.setlist.fm/search?query=Rock+on+the+Range+05%2F18%2F2018,Rock on the Range 2018,"Avenged Sevenfold, S. Sour, Three Days Grace, Bullet for My Valentine, Black Veil Brides, Asking Alexandria, New Years Day, Tech N9ne, Trivium, From Ashes to New, Stick to Your Guns, Jelly Roll, My Ticket Home, Like Moths to Flames, Andrew W.K., Emmure, Miss May I, Wilson, Them Evils",Glamping! First Festival!
44,2018-05-20,Sunday,Rock on the Range Festival - Day 3,Columbus,OH,Mapfre Stadium,"Sean I., Joe P., Josh A.",Yes,https://www.setlist.fm/search?query=Rock+on+the+Range+05%2F18%2F2018,Rock on the Range 2018,"Tool, Godsmack, S. Temple Pilots, The Used, I Prevail, Red Sun Rising, Tyler Bryant & The Shakedown, BABYMETAL, Baroness, Code Orange, Like a Storm, Shaman's Harvest, Shim, Stitched Up Heart, Yelawolf, Anti-Flag, We Came as Romans, Toothgrinder, Joyous Wolf, Pray for Sleep",Glamping! First Festival!
45,2018-06-05,Tuesday,Def Leppard/Journey,Raleigh,NC,PNC Arena,Bill B.,No,https://www.setlist.fm/setlist/def-leppard/2018/pnc-arena-raleigh-nc-5bed4b2c.html,Def Leppard + Journey 2018 Tour,Journey,Journey co-headline tour.
46,2018-06-29,Friday,Lynyrd Skynyrd,Raleigh,NC,Walnut Creek Amphitheatre,Bill B.,No,https://www.setlist.fm/setlist/lynyrd-skynyrd/2018/coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-2bea1486.html,Last of the Street Survivors Farewell Tour,,
47,2018-09-04,Tuesday,Pearl Jam,Boston,MA,Fenway Park,"Dan R., Chris S., Len E.",Yes,https://www.setlist.fm/setlist/pearl-jam/2018/fenway-park-boston-ma-43e86b6f.html,The Home X Away Shows,,
48,2018-11-01,Thursday,A Perfect Circle,Charlotte,NC,Bojangles' Coliseum,Josh R.,Yes,https://www.setlist.fm/setlist/a-perfect-circle/2018/bojangles-coliseum-charlotte-nc-4b96738a.html,Eat the Elephant Tour,"Tricky, Night Club",
49,2019-01-06,Sunday,Justin Timberlake,Raleigh,NC,PNC Arena,Dana K.,No,https://www.setlist.fm/setlist/justin-timberlake/2019/pnc-arena-raleigh-nc-3947d37.html,Man of the Woods Tour,,
